bank_txn_id,case_id,reference_id,amount,transaction_type,description,transaction_date
BTXN-00001,CASE-00001,SETTL-00001,117168.56,CREDIT,Razorpay Payout Ref SETTL-00001,2026-02-27
BTXN-00002,CASE-00002,SETTL-00002,4881.11,CREDIT,Razorpay Payout Ref SETTL-00002,2026-06-25
BTXN-00003,CASE-00003,SETTL-00003,1221.44,CREDIT,Razorpay Payout Ref SETTL-00003,2026-04-05
BTXN-00004,CASE-00004,SETTL-00004,4881.52,CREDIT,Razorpay Payout Ref SETTL-00004,2026-01-26
BTXN-00005,CASE-00005,SETTL-00005,7322.59,CREDIT,Razorpay Payout Ref SETTL-00005,2026-04-24
BTXN-00006,CASE-00006,SETTL-00006,1940.41,CREDIT,Razorpay Payout Ref SETTL-00006 (Net of Refund),2026-04-29
BTXN-00007,CASE-00007,PG_BULK_TRANSFER_BATCH,11716.87,CREDIT,Razorpay Bulk Transfer Batch (Ref Vague),2026-01-23
BTXN-00008,CASE-00008,SETTL-00008,488.84,CREDIT,Razorpay Payout Ref SETTL-00008,2026-02-04
BTXN-DUP-00009,CASE-00009,SETTL-00009,4881.52,CREDIT,Razorpay Payout Ref SETTL-00009 (DUPLICATE ENTRY),2026-02-19
BTXN-00009,CASE-00009,SETTL-00009,4881.52,CREDIT,Razorpay Payout Ref SETTL-00009,2026-02-19
BTXN-00010,CASE-00010,SETTL-00010,527285.10,CREDIT,Razorpay Payout Ref SETTL-00010,2026-06-15
BTXN-00011,CASE-00011,SETTL-00011,7322.27,CREDIT,Razorpay Delayed Payout Ref SETTL-00011,2026-05-20
BTXN-00012,CASE-00012,SETTL-00012,7322.59,CREDIT,Razorpay Payout Ref SETTL-00012,2026-05-06
BTXN-00013,CASE-00013,SETTL-00013,771.17,CREDIT,Razorpay Payout Ref SETTL-00013 (Unexplained Adj),2026-03-27
BTXN-DUP-00014,CASE-00014,SETTL-00014,1220.80,CREDIT,Razorpay Payout Ref SETTL-00014 (DUPLICATE ENTRY),2026-05-27
BTXN-00014,CASE-00014,SETTL-00014,1220.80,CREDIT,Razorpay Payout Ref SETTL-00014,2026-05-27
BTXN-00015,CASE-00015,SETTL-00015,537020.81,CREDIT,Razorpay Payout Ref SETTL-00015,2026-07-28
BTXN-00016,CASE-00016,SETTL-00016,1220.67,CREDIT,Razorpay Delayed Payout Ref SETTL-00016,2026-04-30
BTXN-00017,CASE-00017,SETTL-00017,7322.37,CREDIT,Razorpay Payout Ref SETTL-00017,2026-03-26
BTXN-00018,CASE-00018,PG_BULK_TRANSFER_BATCH,117168.61,CREDIT,Razorpay Bulk Transfer Batch (Ref Vague),2026-04-11
