invoice_id,case_id,order_id,customer_id,subtotal,tax_rate,tax_amount,total_amount,invoice_status,invoice_date
INV-00001,CASE-00001,ORD-00001,CUST-0001,101695.40,0.1800,18305.17,120000.57,ISSUED,2026-02-24
INV-00002,CASE-00002,ORD-00002,CUST-0002,4236.52,0.1800,762.57,4999.09,ISSUED,2026-06-22
INV-00003,CASE-00003,ORD-00003,CUST-0003,1060.14,0.1800,190.82,1250.96,ISSUED,2026-04-02
INV-00004,CASE-00004,ORD-00004,CUST-0004,4236.87,0.1800,762.64,4999.51,ISSUED,2026-01-23
INV-00005,CASE-00005,ORD-00005,CUST-0005,6355.58,0.1800,1144.00,7499.58,ISSUED,2026-04-21
INV-00006,CASE-00006,ORD-00006,CUST-0006,2118.00,0.1800,381.24,2499.24,ISSUED,2026-04-26
INV-00007,CASE-00007,ORD-00007,CUST-0007,10169.55,0.1800,1830.52,12000.07,ISSUED,2026-01-20
INV-00008,CASE-00008,ORD-00008,CUST-0008,424.28,0.1800,76.37,500.65,ISSUED,2026-02-01
INV-00009,CASE-00009,ORD-00009,CUST-0009,4236.87,0.1800,762.64,4999.51,ISSUED,2026-02-16
INV-00010,CASE-00010,ORD-00010,CUST-0010,466101.78,0.1800,83898.32,550000.10,ISSUED,2026-06-12
INV-00011,CASE-00011,ORD-00011,CUST-0011,6355.31,0.1800,1143.95,7499.26,ISSUED,2026-05-03
INV-00012,CASE-00012,ORD-00012,CUST-0012,6355.58,0.1800,1144.00,7499.58,ISSUED,2026-05-03
INV-00013,CASE-00013,ORD-00013,CUST-0013,1059.90,0.1800,190.78,1250.68,ISSUED,2026-03-24
INV-00014,CASE-00014,ORD-00014,CUST-0014,1059.58,0.1800,190.73,1250.31,ISSUED,2026-05-24
INV-00015,CASE-00015,ORD-00015,CUST-0015,466102.40,0.1800,83898.43,550000.83,ISSUED,2026-07-25
INV-00016,CASE-00016,ORD-00016,CUST-0016,1059.47,0.1800,190.70,1250.17,ISSUED,2026-04-13
INV-00017,CASE-00017,ORD-00017,CUST-0017,6355.39,0.1800,1143.97,7499.36,ISSUED,2026-03-23
INV-00018,CASE-00018,ORD-00018,CUST-0018,101695.44,0.1800,18305.18,120000.62,ISSUED,2026-04-08
INV-00019,CASE-00019,ORD-00019,CUST-0019,6355.13,0.1800,1143.92,7499.05,ISSUED,2026-01-02
INV-00020,CASE-00020,ORD-00020,CUST-0020,2118.59,0.1800,381.35,2499.94,ISSUED,2026-06-21
INV-00021,CASE-00021,ORD-00021,CUST-0021,1059.40,0.1800,190.69,1250.09,ISSUED,2026-02-27
INV-00022,CASE-00022,ORD-00022,CUST-0022,21186.58,0.1800,3813.58,25000.16,ISSUED,2026-01-17
INV-00023,CASE-00023,ORD-00023,CUST-0023,4237.18,0.1800,762.69,4999.87,ISSUED,2026-04-07
INV-00024,CASE-00024,ORD-00024,CUST-0024,466102.50,0.1800,83898.45,550000.95,ISSUED,2026-03-02
INV-00025,CASE-00025,ORD-00025,CUST-0025,423.92,0.1800,76.30,500.22,ISSUED,2026-05-10
INV-00026,CASE-00026,ORD-00026,CUST-0026,6355.25,0.1800,1143.95,7499.20,ISSUED,2026-02-11
INV-00027,CASE-00027,ORD-00027,CUST-0027,4236.93,0.1800,762.65,4999.58,ISSUED,2026-05-16
INV-00028,CASE-00028,ORD-00028,CUST-0028,4236.87,0.1800,762.64,4999.51,ISSUED,2026-05-08
INV-00029,CASE-00029,ORD-00029,CUST-0029,101695.35,0.1800,18305.16,120000.51,ISSUED,2026-07-28
INV-00030,CASE-00030,ORD-00030,CUST-0030,2118.42,0.1800,381.32,2499.74,ISSUED,2026-04-14
INV-00031,CASE-00031,ORD-00031,CUST-0031,10170.28,0.1800,1830.65,12000.93,ISSUED,2026-05-02
INV-00032,CASE-00032,ORD-00032,CUST-0032,21187.06,0.1800,3813.67,25000.73,ISSUED,2026-03-15
INV-00033,CASE-00033,ORD-00033,CUST-0033,424.29,0.1800,76.37,500.66,ISSUED,2026-07-29
INV-00034,CASE-00034,ORD-00034,CUST-0034,10170.16,0.1800,1830.63,12000.79,ISSUED,2026-05-02
INV-00035,CASE-00035,ORD-00035,CUST-0035,21186.79,0.1800,3813.62,25000.41,ISSUED,2026-06-06
INV-00036,CASE-00036,ORD-00036,CUST-0036,21187.16,0.1800,3813.69,25000.85,ISSUED,2026-05-28
