order_id,case_id,customer_id,order_amount,currency,order_status,created_at
ORD-00001,CASE-00001,CUST-0001,120000.57,INR,COMPLETED,2026-02-24 10:35:37
ORD-00002,CASE-00002,CUST-0002,4999.09,INR,COMPLETED,2026-06-22 02:16:40
ORD-00003,CASE-00003,CUST-0003,1250.96,INR,COMPLETED,2026-04-02 19:12:59
ORD-00004,CASE-00004,CUST-0004,4999.51,INR,COMPLETED,2026-01-23 18:31:17
ORD-00005,CASE-00005,CUST-0005,7499.58,INR,COMPLETED,2026-04-21 18:42:55
ORD-00006,CASE-00006,CUST-0006,2499.24,INR,COMPLETED,2026-04-26 05:31:02
ORD-00007,CASE-00007,CUST-0007,12000.07,INR,COMPLETED,2026-01-20 11:21:37
ORD-00008,CASE-00008,CUST-0008,500.65,INR,COMPLETED,2026-02-01 02:41:34
ORD-00009,CASE-00009,CUST-0009,4999.51,INR,COMPLETED,2026-02-16 13:25:27
ORD-00010,CASE-00010,CUST-0010,550000.10,INR,COMPLETED,2026-06-12 19:27:33
ORD-00011,CASE-00011,CUST-0011,7499.26,INR,COMPLETED,2026-05-03 00:24:21
ORD-00012,CASE-00012,CUST-0012,7499.58,INR,CANCELLED,2026-05-03 18:59:06
ORD-00013,CASE-00013,CUST-0013,1250.68,INR,COMPLETED,2026-03-24 18:44:31
ORD-00014,CASE-00014,CUST-0014,1250.31,INR,COMPLETED,2026-05-24 12:14:31
ORD-00015,CASE-00015,CUST-0015,550000.83,INR,COMPLETED,2026-07-25 10:05:04
ORD-00016,CASE-00016,CUST-0016,1250.17,INR,COMPLETED,2026-04-13 17:00:03
ORD-00017,CASE-00017,CUST-0017,7499.36,INR,CANCELLED,2026-03-23 19:12:38
ORD-00018,CASE-00018,CUST-0018,120000.62,INR,COMPLETED,2026-04-08 12:37:10
ORD-00019,CASE-00019,CUST-0019,7499.05,INR,COMPLETED,2026-01-02 09:02:53
ORD-00020,CASE-00020,CUST-0020,2499.94,INR,COMPLETED,2026-06-21 14:12:19
ORD-00021,CASE-00021,CUST-0021,1250.09,INR,COMPLETED,2026-02-27 21:17:11
ORD-00022,CASE-00022,CUST-0022,25000.16,INR,COMPLETED,2026-01-17 05:52:23
ORD-00023,CASE-00023,CUST-0023,4999.87,INR,COMPLETED,2026-04-07 21:47:08
ORD-00024,CASE-00024,CUST-0024,550000.95,INR,COMPLETED,2026-03-02 00:32:29
ORD-00025,CASE-00025,CUST-0025,500.22,INR,COMPLETED,2026-05-10 00:11:34
ORD-00026,CASE-00026,CUST-0026,7499.20,INR,COMPLETED,2026-02-11 23:31:27
ORD-00027,CASE-00027,CUST-0027,4999.58,INR,COMPLETED,2026-05-16 19:03:09
ORD-00028,CASE-00028,CUST-0028,4999.51,INR,COMPLETED,2026-05-08 11:37:23
ORD-00029,CASE-00029,CUST-0029,120000.51,INR,COMPLETED,2026-07-28 05:53:34
ORD-00030,CASE-00030,CUST-0030,2499.74,INR,COMPLETED,2026-04-14 02:19:33
ORD-00031,CASE-00031,CUST-0031,12000.93,INR,CANCELLED,2026-05-02 19:41:04
ORD-00032,CASE-00032,CUST-0032,25000.73,INR,COMPLETED,2026-03-15 19:39:45
ORD-00033,CASE-00033,CUST-0033,500.66,INR,COMPLETED,2026-07-29 02:44:10
ORD-00034,CASE-00034,CUST-0034,12000.79,INR,COMPLETED,2026-05-02 21:54:21
ORD-00035,CASE-00035,CUST-0035,25000.41,INR,COMPLETED,2026-06-06 06:38:36
ORD-00036,CASE-00036,CUST-0036,25000.85,INR,COMPLETED,2026-05-28 05:53:24
ORD-00037,CASE-00037,CUST-0037,25000.70,INR,COMPLETED,2026-01-01 03:47:01
ORD-00038,CASE-00038,CUST-0038,550000.77,INR,COMPLETED,2026-05-06 03:34:49
