payment_id,case_id,order_id,customer_id,amount,currency,payment_method,payment_status,created_at
PAY-00001,CASE-00001,ORD-00001,CUST-0001,120000.57,INR,RAZORPAY,SUCCESS,2026-02-24 10:42:37
PAY-00002,CASE-00002,ORD-00002,CUST-0002,4999.09,INR,UPI,SUCCESS,2026-06-22 02:25:40
PAY-00003,CASE-00003,ORD-00003,CUST-0003,1250.96,INR,RAZORPAY,SUCCESS,2026-04-02 19:15:59
PAY-00004,CASE-00004,ORD-00004,CUST-0004,4999.51,INR,RAZORPAY,SUCCESS,2026-01-23 18:34:17
PAY-00005,CASE-00005,ORD-00005,CUST-0005,7499.58,INR,RAZORPAY,SUCCESS,2026-04-21 18:49:55
PAY-00006,CASE-00006,ORD-00006,CUST-0006,2499.24,INR,UPI,SUCCESS,2026-04-26 05:35:02
PAY-00007,CASE-00007,ORD-00007,CUST-0007,12000.07,INR,CREDIT_CARD,SUCCESS,2026-01-20 11:31:37
PAY-00008,CASE-00008,ORD-00008,CUST-0008,500.65,INR,UPI,SUCCESS,2026-02-01 02:44:34
PAY-00009,CASE-00009,ORD-00009,CUST-0009,4999.51,INR,UPI,SUCCESS,2026-02-16 13:35:27
PAY-00010,CASE-00010,ORD-00010,CUST-0010,550000.10,INR,NET_BANKING,SUCCESS,2026-06-12 19:37:33
PAY-00011,CASE-00011,ORD-00011,CUST-0011,7499.26,INR,CREDIT_CARD,SUCCESS,2026-05-03 00:28:21
PAY-00012,CASE-00012,ORD-00012,CUST-0012,7499.58,INR,UPI,SUCCESS,2026-05-03 19:01:06
PAY-00013,CASE-00013,ORD-00013,CUST-0013,1250.68,INR,NET_BANKING,SUCCESS,2026-03-24 18:53:31
PAY-00014,CASE-00014,ORD-00014,CUST-0014,1250.31,INR,NET_BANKING,SUCCESS,2026-05-24 12:19:31
PAY-00015,CASE-00015,ORD-00015,CUST-0015,550000.83,INR,NET_BANKING,SUCCESS,2026-07-25 10:06:04
PAY-00016,CASE-00016,ORD-00016,CUST-0016,1250.17,INR,CREDIT_CARD,SUCCESS,2026-04-13 17:02:03
PAY-00017,CASE-00017,ORD-00017,CUST-0017,7499.36,INR,NET_BANKING,SUCCESS,2026-03-23 19:18:38
PAY-00018,CASE-00018,ORD-00018,CUST-0018,120000.62,INR,RAZORPAY,SUCCESS,2026-04-08 12:38:10
PAY-00019,CASE-00019,ORD-00019,CUST-0019,7499.05,INR,NET_BANKING,SUCCESS,2026-01-02 09:08:53
PAY-00020,CASE-00020,ORD-00020,CUST-0020,2499.94,INR,UPI,SUCCESS,2026-06-21 14:21:19
PAY-00021,CASE-00021,ORD-00021,CUST-0021,1250.09,INR,CREDIT_CARD,SUCCESS,2026-02-27 21:26:11
PAY-00022,CASE-00022,ORD-00022,CUST-0022,25000.16,INR,NET_BANKING,SUCCESS,2026-01-17 05:57:23
PAY-00023,CASE-00023,ORD-00023,CUST-0023,4999.87,INR,RAZORPAY,SUCCESS,2026-04-07 21:49:08
PAY-00024,CASE-00024,ORD-00024,CUST-0024,550000.95,INR,RAZORPAY,SUCCESS,2026-03-02 00:36:29
PAY-00025,CASE-00025,ORD-00025,CUST-0025,500.22,INR,CREDIT_CARD,SUCCESS,2026-05-10 00:18:34
PAY-00026,CASE-00026,ORD-00026,CUST-0026,7499.20,INR,CREDIT_CARD,SUCCESS,2026-02-11 23:38:27
PAY-00027,CASE-00027,ORD-00027,CUST-0027,4999.58,INR,UPI,SUCCESS,2026-05-16 19:08:09
PAY-00028,CASE-00028,ORD-00028,CUST-0028,4999.51,INR,NET_BANKING,SUCCESS,2026-05-08 11:42:23
PAY-00029,CASE-00029,ORD-00029,CUST-0029,120000.51,INR,NET_BANKING,SUCCESS,2026-07-28 05:59:34
PAY-00030,CASE-00030,ORD-00030,CUST-0030,2499.74,INR,RAZORPAY,SUCCESS,2026-04-14 02:20:33
PAY-00031,CASE-00031,ORD-00031,CUST-0031,12000.93,INR,UPI,SUCCESS,2026-05-02 19:48:04
PAY-00032,CASE-00032,ORD-00032,CUST-0032,25000.73,INR,RAZORPAY,SUCCESS,2026-03-15 19:44:45
PAY-00033,CASE-00033,ORD-00033,CUST-0033,500.66,INR,UPI,SUCCESS,2026-07-29 02:48:10
PAY-00034,CASE-00034,ORD-00034,CUST-0034,12000.79,INR,NET_BANKING,SUCCESS,2026-05-02 21:56:21
PAY-00035,CASE-00035,ORD-00035,CUST-0035,25000.41,INR,CREDIT_CARD,SUCCESS,2026-06-06 06:43:36
PAY-00036,CASE-00036,ORD-00036,CUST-0036,25000.85,INR,NET_BANKING,SUCCESS,2026-05-28 05:56:24
PAY-00037,CASE-00037,ORD-00037,CUST-0037,25000.70,INR,RAZORPAY,SUCCESS,2026-01-01 03:52:01
PAY-00038,CASE-00038,ORD-00038,CUST-0038,550000.77,INR,CREDIT_CARD,SUCCESS,2026-05-06 03:42:49
PAY-00039,CASE-00039,ORD-00039,CUST-0039,120000.60,INR,NET_BANKING,SUCCESS,2026-03-07 21:40:18
PAY-00040,CASE-00040,ORD-00040,CUST-0040,1250.96,INR,CREDIT_CARD,SUCCESS,2026-04-02 05:13:02
PAY-00041,CASE-00041,ORD-00041,CUST-0041,500.05,INR,RAZORPAY,SUCCESS,2026-04-06 02:13:52
PAY-00042,CASE-00042,ORD-00042,CUST-0042,25000.80,INR,RAZORPAY,SUCCESS,2026-08-12 13:42:30
PAY-00043,CASE-00043,ORD-00043,CUST-0043,48500.51,INR,UPI,SUCCESS,2026-04-05 18:08:59
PAY-00044,CASE-00044,ORD-00044,CUST-0044,1250.99,INR,RAZORPAY,SUCCESS,2026-06-15 02:42:59
PAY-00045,CASE-00045,ORD-00045,CUST-0045,500.71,INR,RAZORPAY,SUCCESS,2026-04-07 18:43:46
PAY-00046,CASE-00046,ORD-00046,CUST-0046,120000.71,INR,RAZORPAY,SUCCESS,2026-05-04 05:33:52
PAY-00047,CASE-00047,ORD-00047,CUST-0047,120000.57,INR,CREDIT_CARD,SUCCESS,2026-03-03 19:35:33
PAY-00048,CASE-00048,ORD-00048,CUST-0048,7499.98,INR,NET_BANKING,SUCCESS,2026-07-22 10:59:59
PAY-00049,CASE-00049,ORD-00049,CUST-0049,48500.09,INR,NET_BANKING,SUCCESS,2026-04-21 23:14:45
PAY-00050,CASE-00050,ORD-00050,CUST-0050,120000.10,INR,CREDIT_CARD,SUCCESS,2026-02-23 17:47:23
PAY-00051,CASE-00051,ORD-00051,CUST-0051,4999.08,INR,RAZORPAY,SUCCESS,2026-06-11 02:57:56
PAY-00052,CASE-00052,ORD-00052,CUST-0052,25000.07,INR,UPI,SUCCESS,2026-03-22 07:57:10
PAY-00053,CASE-00053,ORD-00053,CUST-0053,550000.48,INR,RAZORPAY,SUCCESS,2026-07-05 05:47:24
PAY-00054,CASE-00054,ORD-00054,CUST-0054,25000.68,INR,CREDIT_CARD,SUCCESS,2026-08-01 02:29:19
PAY-00055,CASE-00055,ORD-00055,CUST-0055,7499.55,INR,RAZORPAY,SUCCESS,2026-07-08 14:31:41
PAY-00056,CASE-00056,ORD-00056,CUST-0056,2499.59,INR,RAZORPAY,SUCCESS,2026-02-19 13:44:38
PAY-00057,CASE-00057,ORD-00057,CUST-0057,550000.72,INR,CREDIT_CARD,SUCCESS,2026-01-11 12:38:33
PAY-00058,CASE-00058,ORD-00058,CUST-0058,48500.23,INR,CREDIT_CARD,SUCCESS,2026-01-20 12:46:12
PAY-00059,CASE-00059,ORD-00059,CUST-0059,48500.41,INR,NET_BANKING,SUCCESS,2026-05-12 01:50:59
PAY-00060,CASE-00060,ORD-00060,CUST-0060,1250.60,INR,CREDIT_CARD,SUCCESS,2026-01-08 12:48:55
PAY-00061,CASE-00061,ORD-00061,CUST-0061,1250.99,INR,UPI,SUCCESS,2026-01-16 15:14:58
PAY-00062,CASE-00062,ORD-00062,CUST-0062,550000.19,INR,UPI,SUCCESS,2026-04-03 15:27:00
PAY-00063,CASE-00063,ORD-00063,CUST-0063,550000.27,INR,UPI,SUCCESS,2026-06-30 14:30:51
PAY-00064,CASE-00064,ORD-00064,CUST-0064,2499.39,INR,RAZORPAY,SUCCESS,2026-02-11 23:43:12
PAY-00065,CASE-00065,ORD-00065,CUST-0065,25000.91,INR,CREDIT_CARD,SUCCESS,2026-03-19 00:36:03
PAY-00066,CASE-00066,ORD-00066,CUST-0066,1250.89,INR,UPI,SUCCESS,2026-04-28 03:07:15
PAY-00067,CASE-00067,ORD-00067,CUST-0067,12000.68,INR,NET_BANKING,SUCCESS,2026-06-16 08:52:20
PAY-00068,CASE-00068,ORD-00068,CUST-0068,500.53,INR,RAZORPAY,SUCCESS,2026-07-10 09:02:39
PAY-00069,CASE-00069,ORD-00069,CUST-0069,2499.55,INR,RAZORPAY,SUCCESS,2026-03-10 09:51:55
PAY-00070,CASE-00070,ORD-00070,CUST-0070,48500.55,INR,NET_BANKING,SUCCESS,2026-04-15 05:43:39
PAY-00071,CASE-00071,ORD-00071,CUST-0071,48500.31,INR,RAZORPAY,SUCCESS,2026-06-30 11:33:48
PAY-00072,CASE-00072,ORD-00072,CUST-0072,12000.03,INR,CREDIT_CARD,SUCCESS,2026-07-11 23:22:13
PAY-00073,CASE-00073,ORD-00073,CUST-0073,12000.33,INR,NET_BANKING,SUCCESS,2026-05-13 04:16:16
PAY-00074,CASE-00074,ORD-00074,CUST-0074,120000.01,INR,RAZORPAY,SUCCESS,2026-07-20 15:22:53
PAY-00075,CASE-00075,ORD-00075,CUST-0075,48500.71,INR,RAZORPAY,SUCCESS,2026-04-04 08:06:53
PAY-00076,CASE-00076,ORD-00076,CUST-0076,48500.02,INR,CREDIT_CARD,SUCCESS,2026-02-06 03:24:12
PAY-00077,CASE-00077,ORD-00077,CUST-0077,7499.84,INR,NET_BANKING,SUCCESS,2026-08-14 20:35:27
PAY-00078,CASE-00078,ORD-00078,CUST-0078,25000.95,INR,RAZORPAY,SUCCESS,2026-08-02 18:05:32
PAY-00079,CASE-00079,ORD-00079,CUST-0079,7499.39,INR,CREDIT_CARD,SUCCESS,2026-04-08 15:19:07
PAY-00080,CASE-00080,ORD-00080,CUST-0080,12000.15,INR,RAZORPAY,SUCCESS,2026-07-28 02:39:50
PAY-00081,CASE-00081,ORD-00081,CUST-0001,7499.92,INR,CREDIT_CARD,SUCCESS,2026-07-23 18:08:12
PAY-00082,CASE-00082,ORD-00082,CUST-0002,7499.29,INR,CREDIT_CARD,SUCCESS,2026-05-21 03:42:19
PAY-00083,CASE-00083,ORD-00083,CUST-0003,7499.05,INR,CREDIT_CARD,SUCCESS,2026-01-22 04:22:09
PAY-00084,CASE-00084,ORD-00084,CUST-0004,48500.13,INR,RAZORPAY,SUCCESS,2026-01-05 18:29:18
PAY-00085,CASE-00085,ORD-00085,CUST-0005,48500.43,INR,UPI,SUCCESS,2026-03-13 14:24:38
PAY-00086,CASE-00086,ORD-00086,CUST-0006,1250.51,INR,UPI,SUCCESS,2026-07-10 23:26:36
PAY-00087,CASE-00087,ORD-00087,CUST-0007,2499.19,INR,UPI,SUCCESS,2026-08-07 14:07:42
PAY-00088,CASE-00088,ORD-00088,CUST-0008,120000.97,INR,CREDIT_CARD,SUCCESS,2026-06-11 15:11:22
PAY-00089,CASE-00089,ORD-00089,CUST-0009,120000.48,INR,RAZORPAY,SUCCESS,2026-06-24 23:13:56
PAY-00090,CASE-00090,ORD-00090,CUST-0010,7499.72,INR,CREDIT_CARD,SUCCESS,2026-01-24 09:33:13
PAY-00091,CASE-00091,ORD-00091,CUST-0011,4999.33,INR,UPI,SUCCESS,2026-02-01 12:46:19
PAY-00092,CASE-00092,ORD-00092,CUST-0012,2499.00,INR,RAZORPAY,SUCCESS,2026-06-08 15:47:35
PAY-00093,CASE-00093,ORD-00093,CUST-0013,7499.04,INR,RAZORPAY,SUCCESS,2026-03-31 21:35:53
PAY-00094,CASE-00094,ORD-00094,CUST-0014,1250.87,INR,CREDIT_CARD,SUCCESS,2026-04-01 15:45:03
PAY-00095,CASE-00095,ORD-00095,CUST-0015,25000.14,INR,NET_BANKING,SUCCESS,2026-07-31 11:45:21
PAY-00096,CASE-00096,ORD-00096,CUST-0016,2499.09,INR,NET_BANKING,SUCCESS,2026-01-24 03:55:00
PAY-00097,CASE-00097,ORD-00097,CUST-0017,48500.15,INR,NET_BANKING,SUCCESS,2026-07-02 00:39:54
PAY-00098,CASE-00098,ORD-00098,CUST-0018,120000.69,INR,UPI,SUCCESS,2026-07-11 18:38:18
PAY-00099,CASE-00099,ORD-00099,CUST-0019,25000.94,INR,UPI,SUCCESS,2026-05-06 04:25:17
PAY-00100,CASE-00100,ORD-00100,CUST-0020,4999.86,INR,NET_BANKING,SUCCESS,2026-08-12 09:24:39
