refund_id,case_id,payment_id,refund_amount,refund_reason,refund_status,created_at
REF-00006,CASE-00006,PAY-00006,499.85,Customer requested partial item return,COMPLETED,2026-04-26 17:35:02
REF-00035,CASE-00035,PAY-00035,5000.08,Customer requested partial item return,COMPLETED,2026-06-06 18:43:36
REF-00039,CASE-00039,PAY-00039,24000.12,Customer requested partial item return,COMPLETED,2026-03-08 09:40:18
REF-00041,CASE-00041,PAY-00041,100.01,Customer requested partial item return,COMPLETED,2026-04-06 14:13:52
REF-00047,CASE-00047,PAY-00047,24000.11,Customer requested partial item return,COMPLETED,2026-03-04 07:35:33
REF-00048,CASE-00048,PAY-00048,1500.00,Customer requested partial item return,COMPLETED,2026-07-22 22:59:59
REF-00060,CASE-00060,PAY-00060,250.12,Customer requested partial item return,COMPLETED,2026-01-09 00:48:55
REF-00081,CASE-00081,PAY-00081,1499.98,Customer requested partial item return,COMPLETED,2026-07-24 06:08:12
REF-00086,CASE-00086,PAY-00086,250.10,Customer requested partial item return,COMPLETED,2026-07-11 11:26:36
REF-00098,CASE-00098,PAY-00098,24000.14,Customer requested partial item return,COMPLETED,2026-07-12 06:38:18
