settlement_id,case_id,payment_id,gross_amount,fee_amount,tax_amount,adjustment_amount,net_amount,settlement_status,settlement_date
SETTL-00001,CASE-00001,PAY-00001,120000.57,2400.01,432.00,0.00,117168.56,SETTLED,2026-02-26
SETTL-00002,CASE-00002,PAY-00002,4999.09,99.98,18.00,0.00,4881.11,SETTLED,2026-06-24
SETTL-00003,CASE-00003,PAY-00003,1250.96,25.02,4.50,0.00,1221.44,SETTLED,2026-04-04
SETTL-00004,CASE-00004,PAY-00004,4999.51,99.99,18.00,0.00,4881.52,SETTLED,2026-01-25
SETTL-00005,CASE-00005,PAY-00005,7499.58,149.99,27.00,0.00,7322.59,SETTLED,2026-04-23
SETTL-00006,CASE-00006,PAY-00006,2499.24,49.98,9.00,0.00,1940.41,SETTLED,2026-04-28
SETTL-00007,CASE-00007,PAY-00007,12000.07,240.00,43.20,0.00,11716.87,SETTLED,2026-01-22
SETTL-00008,CASE-00008,PAY-00008,500.65,10.01,1.80,0.00,488.84,SETTLED,2026-02-03
SETTL-00009,CASE-00009,PAY-00009,4999.51,99.99,18.00,0.00,4881.52,SETTLED,2026-02-18
SETTL-00010,CASE-00010,PAY-00010,550000.10,19250.00,3465.00,0.00,527285.10,SETTLED,2026-06-14
SETTL-00011,CASE-00011,PAY-00011,7499.26,149.99,27.00,0.00,7322.27,SETTLED,2026-05-05
SETTL-00012,CASE-00012,PAY-00012,7499.58,149.99,27.00,0.00,7322.59,SETTLED,2026-05-05
SETTL-00013,CASE-00013,PAY-00013,1250.68,25.01,4.50,-450.00,771.17,SETTLED,2026-03-26
SETTL-00014,CASE-00014,PAY-00014,1250.31,25.01,4.50,0.00,1220.80,SETTLED,2026-05-26
SETTL-00015,CASE-00015,PAY-00015,550000.83,11000.02,1980.00,0.00,537020.81,SETTLED,2026-07-27
SETTL-00016,CASE-00016,PAY-00016,1250.17,25.00,4.50,0.00,1220.67,SETTLED,2026-04-15
SETTL-00017,CASE-00017,PAY-00017,7499.36,149.99,27.00,0.00,7322.37,SETTLED,2026-03-25
SETTL-00018,CASE-00018,PAY-00018,120000.62,2400.01,432.00,0.00,117168.61,SETTLED,2026-04-10
SETTL-00020,CASE-00020,PAY-00020,2499.94,50.00,9.00,0.00,2440.94,SETTLED,2026-06-23
SETTL-00021,CASE-00021,PAY-00021,1250.09,25.00,4.50,0.00,1220.59,SETTLED,2026-03-01
SETTL-00022,CASE-00022,PAY-00022,25000.16,875.01,157.50,0.00,23967.65,SETTLED,2026-01-19
SETTL-00023,CASE-00023,PAY-00023,4999.87,100.00,18.00,0.00,4881.87,SETTLED,2026-04-09
SETTL-00024,CASE-00024,PAY-00024,550000.95,11000.02,1980.00,0.00,537020.93,SETTLED,2026-03-04
SETTL-00025,CASE-00025,PAY-00025,500.22,10.00,1.80,0.00,488.42,SETTLED,2026-05-12
SETTL-00026,CASE-00026,PAY-00026,7499.20,149.98,27.00,0.00,7322.22,SETTLED,2026-02-13
SETTL-00027,CASE-00027,PAY-00027,4999.58,99.99,18.00,0.00,4881.59,SETTLED,2026-05-18
SETTL-00028,CASE-00028,PAY-00028,4999.51,99.99,18.00,0.00,4881.52,SETTLED,2026-05-10
SETTL-00029,CASE-00029,PAY-00029,120000.51,2400.01,432.00,0.00,117168.50,SETTLED,2026-07-30
SETTL-00030,CASE-00030,PAY-00030,2499.74,49.99,9.00,0.00,2440.75,SETTLED,2026-04-16
SETTL-00031,CASE-00031,PAY-00031,12000.93,240.02,43.20,0.00,11717.71,SETTLED,2026-05-04
SETTL-00032,CASE-00032,PAY-00032,25000.73,500.01,90.00,0.00,24410.72,SETTLED,2026-03-17
SETTL-00033,CASE-00033,PAY-00033,500.66,17.52,3.15,0.00,479.99,SETTLED,2026-07-31
SETTL-00034,CASE-00034,PAY-00034,12000.79,240.02,43.20,0.00,11717.57,SETTLED,2026-05-04
SETTL-00035,CASE-00035,PAY-00035,25000.41,500.01,90.00,0.00,19410.32,SETTLED,2026-06-08
SETTL-00036,CASE-00036,PAY-00036,25000.85,875.03,157.51,0.00,23968.31,SETTLED,2026-05-30
SETTL-00037,CASE-00037,PAY-00037,23750.67,500.01,90.00,0.00,23160.66,SETTLED,2026-01-03
SETTL-00038,CASE-00038,PAY-00038,550000.77,11000.02,1980.00,0.00,537020.75,SETTLED,2026-05-08
SETTL-00039,CASE-00039,PAY-00039,120000.60,2400.01,432.00,0.00,93168.47,SETTLED,2026-03-09
SETTL-00040,CASE-00040,PAY-00040,1250.96,25.02,4.50,0.00,1221.44,SETTLED,2026-04-04
SETTL-00041,CASE-00041,PAY-00041,500.05,10.00,1.80,0.00,388.24,SETTLED,2026-04-08
SETTL-00042,CASE-00042,PAY-00042,25000.80,875.03,157.51,0.00,23968.26,SETTLED,2026-08-14
SETTL-00043,CASE-00043,PAY-00043,48500.51,970.01,174.60,0.00,47355.90,SETTLED,2026-04-07
SETTL-00044,CASE-00044,PAY-00044,1250.99,25.02,4.50,0.00,1221.47,SETTLED,2026-06-17
SETTL-00045,CASE-00045,PAY-00045,500.71,10.01,1.80,-450.00,38.90,SETTLED,2026-04-09
SETTL-00046,CASE-00046,PAY-00046,120000.71,4200.02,756.00,0.00,115044.69,SETTLED,2026-05-06
SETTL-00047,CASE-00047,PAY-00047,120000.57,2400.01,432.00,0.00,93168.45,SETTLED,2026-03-05
SETTL-00048,CASE-00048,PAY-00048,7499.98,150.00,27.00,0.00,5822.98,SETTLED,2026-07-24
SETTL-00049,CASE-00049,PAY-00049,48500.09,970.00,174.60,0.00,47355.49,SETTLED,2026-04-23
SETTL-00050,CASE-00050,PAY-00050,120000.10,2400.00,432.00,0.00,117168.10,SETTLED,2026-02-25
SETTL-00051,CASE-00051,PAY-00051,4999.08,99.98,18.00,0.00,4881.10,SETTLED,2026-06-13
