tax_id,case_id,invoice_id,tax_type,taxable_amount,tax_rate,tax_amount,filing_period,recorded_at
TAX-00001,CASE-00001,INV-00001,GST_OUTPUT,101695.40,0.1200,12203.45,2026-02,2026-02-24 12:36:37
TAX-00002,CASE-00002,INV-00002,GST_OUTPUT,4236.52,0.1800,762.57,2026-06,2026-06-22 03:16:40
TAX-00003,CASE-00003,INV-00003,GST_OUTPUT,1060.14,0.1800,190.82,2026-04,2026-04-02 21:15:59
TAX-00004,CASE-00004,INV-00004,GST_OUTPUT,4236.87,0.1800,762.64,2026-01,2026-01-23 19:34:17
TAX-00005,CASE-00005,INV-00005,GST_OUTPUT,6355.58,0.1200,762.67,2026-04,2026-04-21 21:47:55
TAX-00006,CASE-00006,INV-00006,GST_OUTPUT,2118.00,0.1800,381.24,2026-04,2026-04-26 08:31:02
TAX-00007,CASE-00007,INV-00007,GST_OUTPUT,10169.55,0.1800,1830.52,2026-01,2026-01-20 14:24:37
TAX-00008,CASE-00008,INV-00008,GST_OUTPUT,424.28,0.1800,76.37,2026-02,2026-02-01 05:41:34
TAX-00009,CASE-00009,INV-00009,GST_OUTPUT,4236.87,0.1800,762.64,2026-02,2026-02-16 16:26:27
TAX-00010,CASE-00010,INV-00010,GST_OUTPUT,466101.78,0.1800,83898.32,2026-06,2026-06-12 22:31:33
TAX-00011,CASE-00011,INV-00011,GST_OUTPUT,6355.31,0.1800,1143.95,2026-05,2026-05-03 02:26:21
TAX-00012,CASE-00012,INV-00012,GST_OUTPUT,6355.58,0.1800,1144.00,2026-05,2026-05-03 20:59:06
TAX-00013,CASE-00013,INV-00013,GST_OUTPUT,1059.90,0.1800,190.78,2026-03,2026-03-24 19:46:31
TAX-00014,CASE-00014,INV-00014,GST_OUTPUT,1059.58,0.1800,190.73,2026-05,2026-05-24 14:15:31
TAX-00015,CASE-00015,INV-00015,GST_OUTPUT,466102.40,0.1800,83898.43,2026-07,2026-07-25 13:10:04
TAX-00016,CASE-00016,INV-00016,GST_OUTPUT,1059.47,0.1800,190.70,2026-04,2026-04-13 20:00:03
TAX-00017,CASE-00017,INV-00017,GST_OUTPUT,6355.39,0.1800,1143.97,2026-03,2026-03-23 22:13:38
TAX-00018,CASE-00018,INV-00018,GST_OUTPUT,101695.44,0.1800,18305.18,2026-04,2026-04-08 15:37:10
